"","MSZoning","LotArea","LotShape","Neighborhood","BldgType","OverallQual","OverallCond","YearBuilt","RoofStyle","ExterQual","ExterCond","Foundation","BsmtQual","BsmtFinType1","TotalBsmtSF","HeatingQC","CentralAir","Electrical","GrLivArea","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","Functional","FireplaceQu","GarageCars","PavedDrive","SaleType","SaleCondition","SalePrice","numb_add_flr","pool","porch_area","porch_type","Remod"
"384","RH",9000,"Reg","SawyerW","1Fam","3","2",1928,"Gable","TA","2","BrkTil","Fa","Unf",784,"TA","N","Fuse or Mix",784,"1","0",2,1,"TA","Typ","No",2,"N or P","WD","Normal",76000,1,"0",91,"enclosed_porch","0"
"385","RL",53107,"IR2.5","ClearCr","1Fam","3","3",1992,"Gable","Gd","2","PConc","Gd","GLQ",1580,"Ex","Y","SBrkr",1953,"2","1",3,1,"Gd","Typ","BA",2,"Y","WD","Normal",240000,2,"0",447,"multiple","1"
"386","RL",3182,"Reg","Blmngtn","TwnhsE","4","3",2004,"Gable","Gd","2","PConc","Gd","GLQ",1256,"Ex","Y","SBrkr",1269,"2","0",2,1,"Gd","Typ","TA",2,"Y","WD","Normal",192000,1,"0",310,"multiple","0"
"387","RL",8410,"Reg","Edwards","1Fam","3","2",1910,"Other","TA","1","PConc","TA","Unf",658,"TA","Y","SBrkr",1184,"1","0",5,1,"TA","Typ","No",0,"N or P","WD","Other",81000,2,"0",151,"open_porch","0"
"388","RL",7200,"Reg","Edwards","1Fam","3","3",1976,"Hip","TA","2","CBlock","TA","ALQ",1041,"Ex","Y","SBrkr",1125,"1","0",3,1,"TA","Typ","BA",1,"Y","WD","Abnorml",125000,1,"0",296,"wood_deck","1"
"389","RL",9382,"IR1","CollgCr","1Fam","4","3",1999,"Gable","Gd","2","PConc","Gd","Unf",1468,"Ex","Y","SBrkr",1479,"2","0",3,1,"Gd","Typ","No",2,"Y","WD","Normal",191000,1,"0",145,"multiple","0"
"390","RL",12474,"Reg","NridgHt","1Fam","5","3",2007,"Gable","Ex","2","PConc","Ex","GLQ",1682,"Ex","Y","SBrkr",2332,"2","1",3,1,"Ex","Typ","AA",3,"Y","New","Partial",426000,2,"0",330,"multiple","0"
"391","RL",8405,"Reg","Edwards","1Fam","3","4",1900,"Gable","TA","2","BrkTil","TA","Rec",861,"Ex","Y","SBrkr",1367,"1","0",4,1,"TA","Typ","No",1,"Y","WD","Normal",119000,2,"0",242,"multiple","0"
"392","RL",12209,"IR1","Mitchel","1Fam","3","3",2001,"Gable","TA","2","PConc","Ex","ALQ",804,"Ex","Y","SBrkr",1961,"2","1",3,1,"Gd","Typ","TA",2,"Y","WD","Normal",215000,2,"0",317,"multiple","0"
"393","RL",8339,"IR1","NAmes","1Fam","3","4",1959,"Gable","TA","2","Other","No","No",0,"TA","Y","SBrkr",882,"1","0",3,1,"TA","Typ","No",1,"Y","WD","Normal",106500,1,"0",0,"no","1"
"394","RL",7446,"Reg","BrkSide","1Fam","2","3",1941,"Gable","TA","2","CBlock","TA","Rec",788,"TA","Y","Fuse or Mix",788,"1","0",2,1,"TA","Typ","TA",0,"Y","WD","Abnorml",1e+05,1,"0",0,"no","0"
"395","RL",10134,"Reg","OldTown","1Fam","3","3",1940,"Gable","TA","2","CBlock","TA","Unf",735,"Gd","Y","Fuse or Mix",1034,"1","0",2,1,"TA","Typ","No",1,"Y","WD","Normal",109000,2,"0",39,"open_porch","0"
"396","RL",9571,"Reg","Edwards","1Fam","3","3",1956,"Gable","TA","2","CBlock","TA","BLQ",1144,"TA","Y","SBrkr",1144,"1","0",3,1,"TA","Typ","No",1,"Y","WD","Normal",129000,1,"0",44,"wood_deck","1"
"397","RL",7200,"Reg","CollgCr","1Fam","3","3",1972,"Hip","TA","2","CBlock","TA","Rec",894,"TA","Y","SBrkr",894,"1","0",2,1,"TA","Typ","No",2,"Y","WD","Normal",123000,1,"0",215,"wood_deck","1"
"398","RL",7590,"Reg","NAmes","1Fam","3","3",1962,"Gable","TA","2","CBlock","TA","ALQ",864,"TA","Y","SBrkr",1812,"2","0",4,1,"TA","Typ","TA",1,"Y","WD","Normal",169500,2,"0",168,"open_porch","1"
"399","RM",8967,"Reg","IDOTRR","1Fam","3","1",1920,"Gable","TA","1","BrkTil","Fa","Unf",961,"Gd","Y","Fuse or Mix",1077,"1","0",2,1,"TA","Maj","No",1,"N or P","WD","Abnorml",67000,1,"0",0,"no","0"
"400","FV",8125,"Reg","Somerst","1Fam","4","3",2006,"Gable","Gd","2","PConc","Gd","GLQ",1092,"Ex","Y","SBrkr",1550,"2","0",2,1,"Gd","Typ","No",2,"Y","WD","Normal",241000,2,"0",168,"open_porch","0"
"401","RL",14963,"IR2.5","Veenker","TwnhsE","4","3",1996,"Gable","Gd","2","PConc","Gd","GLQ",1260,"Ex","Y","SBrkr",1288,"1","1",1,1,"Ex","Typ","AA",2,"Y","WD","Normal",245500,1,"0",374,"multiple","1"
"402","RL",8767,"IR1","CollgCr","1Fam","4","3",2005,"Gable","Gd","2","PConc","Gd","GLQ",1310,"Ex","Y","SBrkr",1310,"2","0",3,1,"Gd","Typ","AA",2,"Y","New","Partial",164990,1,"0",0,"no","1"
"403","RL",10200,"Reg","Sawyer","1Fam","3","4",1940,"Gable","TA","2","PConc","TA","Unf",672,"Ex","Y","SBrkr",672,"1","0",2,1,"TA","Typ","No",1,"N or P","WD","Normal",108000,1,"0",168,"wood_deck","0"
"404","RL",12090,"Reg","NoRidge","1Fam","4","3",1998,"Hip","Gd","2","PConc","Gd","Unf",1141,"Gd","Y","SBrkr",2263,"2","1",4,1,"Gd","Typ","TA",2,"Y","WD","Abnorml",258000,2,"0",267,"multiple","1"
"405","RL",10364,"IR1","Gilbert","1Fam","3","3",1995,"Gable","TA","2","PConc","Gd","Unf",806,"Gd","Y","SBrkr",1572,"2","1",3,1,"TA","Typ","TA",2,"Y","WD","Normal",168000,2,"0",40,"open_porch","0"
"406","RL",9991,"IR1","Sawyer","1Fam","2","2",1976,"Gable","TA","2","CBlock","TA","BLQ",1281,"Ex","Y","SBrkr",1620,"2","0",3,1,"TA","Min","TA",2,"Y","WD","Normal",150000,1,"0",198,"multiple","0"
"407","RL",10480,"Reg","SWISU","1Fam","3","3",1936,"Gable","TA","2","BrkTil","TA","Unf",1064,"Ex","Y","Fuse or Mix",1639,"1","0",3,1,"TA","Maj","No",1,"Y","WD","Normal",115000,1,"0",0,"no","0"
"408","RL",15576,"Reg","Crawfor","1Fam","3","4",1915,"Gable","TA","2","BrkTil","Gd","Unf",840,"Ex","Y","SBrkr",1680,"2","0",4,1,"TA","Typ","No",1,"Y","WD","Normal",177000,2,"0",160,"enclosed_porch","0"
"409","RL",14154,"Reg","NridgHt","1Fam","4","3",2006,"Gable","Gd","2","PConc","Ex","Unf",1063,"Ex","Y","SBrkr",2172,"2","1",3,1,"Gd","Typ","AA",3,"Y","New","Partial",280000,2,"0",254,"multiple","1"
"410","FV",10800,"Reg","Somerst","1Fam","4","3",2007,"Gable","Gd","2","PConc","Ex","GLQ",1034,"Ex","Y","SBrkr",2078,"2","1",3,1,"Ex","Typ","AA",3,"Y","New","Partial",339750,2,"0",102,"open_porch","0"
"411","RL",9571,"Reg","Edwards","1Fam","3","2",1958,"Gable","TA","1","CBlock","TA","Unf",1276,"TA","Y","Fuse or Mix",1276,"1","0",3,1,"TA","Min","No",1,"Y","COD","Abnorml",60000,1,"0",0,"no","1"
"412","RL",34650,"Reg","Gilbert","2fmCon","3","3",1955,"Hip","TA","2","CBlock","TA","Rec",1056,"TA","N","SBrkr",1056,"1","0",3,1,"TA","Typ","No",2,"Y","WD","Normal",145000,1,"0",264,"wood_deck","1"
"413","FV",4403,"IR2.5","Somerst","1Fam","4","3",2009,"Gable","Ex","2","PConc","Ex","GLQ",1470,"Ex","Y","SBrkr",1478,"2","1",2,1,"Gd","Typ","AA",2,"Y","New","Partial",222000,1,"0",144,"open_porch","1"
"414","RM",8960,"Reg","OldTown","1Fam","3","3",1927,"Gable","TA","2","CBlock","TA","Unf",1008,"Gd","Y","Fuse or Mix",1028,"1","0",2,1,"TA","Typ","AA",2,"Y","WD","Normal",115000,1,"0",130,"enclosed_porch","0"
"415","RL",11228,"IR2.5","SawyerW","1Fam","4","3",1993,"Gable","Gd","2","PConc","Gd","BLQ",1080,"Ex","Y","SBrkr",2097,"2","1",3,1,"Gd","Typ","TA",3,"Y","WD","Normal",228000,2,"0",383,"multiple","1"
"416","RL",8899,"IR1","Gilbert","1Fam","4","3",2007,"Gable","Gd","2","PConc","Gd","GLQ",1340,"Ex","Y","SBrkr",1340,"2","0",3,1,"Gd","Typ","No",2,"Y","New","Partial",181134,1,"0",130,"multiple","1"
"417","RL",7844,"Reg","Sawyer","1Fam","3","4",1978,"Hip","TA","2","CBlock","TA","ALQ",672,"TA","Y","SBrkr",1400,"1","1",3,1,"TA","Typ","TA",2,"Y","WD","Normal",149500,2,"0",0,"no","1"
"418","RL",22420,"IR1","Crawfor","1Fam","3","3",1918,"Hip","TA","2","BrkTil","Gd","BLQ",1370,"TA","N","Fuse or Mix",2624,"2","1",4,1,"TA","Typ","AA",3,"N or P","WD","Normal",239000,2,"0",0,"no","0"
"419","RL",8160,"Reg","Edwards","1Fam","3","3",1940,"Gable","TA","2","BrkTil","TA","ALQ",756,"Fa","N","Fuse or Mix",1134,"1","1",3,1,"TA","Typ","No",1,"N or P","WD","Other",126000,2,"0",0,"no","0"
"420","RL",8450,"Reg","NAmes","1Fam","3","3",1968,"Gable","TA","2","CBlock","TA","BLQ",1056,"Ex","Y","SBrkr",1056,"1","0",3,1,"TA","Typ","BA",1,"Y","WD","Normal",142000,1,"0",269,"multiple","1"
"421","RM",7060,"Reg","Mitchel","Duplex","4","3",1997,"Gable","TA","3","PConc","Gd","GLQ",1344,"Ex","Y","SBrkr",1344,"2","0",2,2,"TA","Typ","No",4,"Y","WD","Other",206300,1,"0",0,"no","0"
"422","RL",16635,"IR1","NWAmes","1Fam","3","4",1977,"Gable","Gd","2","CBlock","Gd","ALQ",1602,"Gd","Y","SBrkr",1602,"2","0",3,1,"Gd","Typ","TA",2,"Y","WD","Normal",215000,1,"0",240,"wood_deck","0"
"423","RL",21750,"Reg","Mitchel","1Fam","3","3",1954,"Hip","TA","2","CBlock","TA","Unf",988,"Ex","Y","Fuse or Mix",988,"1","0",2,1,"TA","Typ","No",2,"N or P","WD","Normal",113000,1,"0",0,"no","1"
"424","RL",9200,"Reg","NoRidge","1Fam","4","3",1998,"Gable","Gd","2","PConc","Gd","GLQ",1470,"Gd","Y","SBrkr",2630,"2","1",4,1,"Gd","Typ","TA",3,"Y","WD","Normal",315000,2,"0",66,"open_porch","1"
"425","RL",9000,"Reg","NAmes","1Fam","3","3",1956,"Gable","TA","2","CBlock","Gd","LwQ",1196,"Gd","Y","Fuse or Mix",1196,"1","0",2,1,"TA","Typ","AA",1,"Y","WD","Normal",139000,1,"0",44,"open_porch","1"
"426","RM",3378,"Reg","OldTown","1Fam","4","4",1946,"Gable","TA","3","CBlock","TA","Unf",651,"Gd","Y","SBrkr",1389,"1","1",3,1,"TA","Typ","AA",1,"N or P","WD","Normal",135000,2,"0",126,"enclosed_porch","0"
"427","RL",12800,"Reg","SawyerW","1Fam","4","3",1989,"Gable","Gd","2","PConc","Gd","GLQ",1518,"Gd","Y","SBrkr",1644,"2","0",2,1,"Gd","Typ","TA",2,"Y","WD","Normal",275000,1,"0",476,"multiple","1"
"428","RL",8593,"IR1","NAmes","1Fam","2","3",1957,"Hip","TA","2","CBlock","TA","Rec",907,"Ex","Y","SBrkr",907,"1","0",3,1,"TA","Typ","No",1,"Y","WD","Normal",109008,1,"0",0,"no","1"
"429","RL",6762,"Reg","CollgCr","1Fam","4","3",2007,"Gable","Gd","2","PConc","Gd","GLQ",1208,"Ex","Y","SBrkr",1208,"2","0",2,1,"Gd","Typ","No",2,"Y","New","Partial",195400,1,"0",159,"multiple","1"
"430","RL",11457,"IR1","Timber","1Fam","3","3",1988,"Gable","TA","2","CBlock","Gd","GLQ",1392,"TA","Y","SBrkr",1412,"2","0",3,1,"Gd","Typ","TA",2,"Y","WD","Normal",175000,1,"0",169,"enclosed_porch","1"
"431","RM",1680,"Reg","BrDale","Twnhs","3","3",1971,"Gable","TA","2","CBlock","TA","ALQ",483,"TA","Y","SBrkr",987,"1","1",2,1,"TA","Typ","No",1,"Y","COD","Abnorml",85400,2,"0",0,"no","1"
"432","RM",5586,"IR1","OldTown","1Fam","3","4",1920,"Gable","TA","2","BrkTil","TA","Unf",901,"Gd","Y","SBrkr",1198,"1","0",4,1,"TA","Typ","No",0,"N or P","Other","Abnorml",79900,2,"0",98,"open_porch","0"
"433","RM",1920,"Reg","BrDale","TwnhsE","3","3",1971,"Gable","TA","2","CBlock","TA","ALQ",765,"Ex","Y","SBrkr",1365,"1","1",2,1,"TA","Min","No",2,"Y","WD","Normal",122500,2,"0",276,"multiple","1"
"434","RL",10839,"IR1","Gilbert","1Fam","3","3",1997,"Gable","TA","2","PConc","Gd","Unf",926,"Ex","Y","SBrkr",1604,"2","1",3,1,"TA","Typ","TA",2,"Y","WD","Normal",181000,2,"0",36,"open_porch","0"
"435","RM",1890,"Reg","MeadowV","Twnhs","2","4",1972,"Gable","TA","3","CBlock","Gd","ALQ",630,"Gd","Y","SBrkr",630,"1","0",1,1,"TA","Typ","No",0,"Y","WD","Normal",81000,1,"0",88,"wood_deck","1"
"436","RL",10667,"IR2.5","CollgCr","1Fam","4","3",1996,"Gable","Gd","2","PConc","Gd","GLQ",799,"Ex","Y","SBrkr",1661,"2","1",3,1,"Gd","Typ","TA",2,"Y","Other","Normal",212000,2,"0",219,"multiple","1"
"437","RM",4400,"Reg","OldTown","1Fam","3","4",1920,"Gable","TA","2","BrkTil","Fa","Unf",648,"TA","Y","Fuse or Mix",1118,"1","0",2,1,"TA","Typ","No",2,"Y","WD","Normal",116000,2,"0",0,"no","0"
"438","RM",6000,"Reg","BrkSide","1Fam","3","4",1926,"Gable","Gd","2","PConc","TA","Unf",884,"Gd","Y","SBrkr",904,"1","0",2,1,"TA","Typ","No",1,"Y","WD","Normal",119000,1,"0",105,"enclosed_porch","0"
"439","RL",4280,"Reg","Crawfor","1Fam","3","3",1913,"Gable","TA","2","PConc","TA","LwQ",440,"TA","N","SBrkr",694,"1","0",2,1,"Gd","Typ","AA",1,"N or P","WD","Normal",90350,1,"0",34,"enclosed_porch","0"
"440","RL",12354,"Reg","Edwards","1Fam","3","4",1920,"Gable","TA","2","BrkTil","TA","Unf",684,"Gd","Y","SBrkr",1196,"1","0",3,1,"Gd","Typ","No",2,"Y","Other","Normal",110000,2,"0",46,"open_porch","0"
"441","RL",15431,"Reg","NridgHt","1Fam","5","3",2008,"Hip","Ex","2","PConc","Ex","GLQ",3094,"Ex","Y","SBrkr",2402,"2","0",2,1,"Ex","Typ","AA",3,"Y","WD","Normal",555000,1,"0",242,"multiple","1"
"442","RL",12108,"Reg","Edwards","Duplex","2","2",1955,"Gable","TA","2","CBlock","TA","ALQ",1440,"TA","N","Fuse or Mix",1440,"2","0",4,2,"Fa","Typ","No",0,"Y","WD","Normal",118000,1,"0",0,"no","1"
"443","RM",6240,"Reg","BrkSide","1Fam","3","4",1930,"Gable","TA","2","PConc","TA","Unf",1078,"TA","Y","SBrkr",1573,"2","0",3,1,"TA","Typ","AA",2,"N or P","WD","Normal",162900,2,"0",0,"no","0"
"444","RL",3922,"Reg","Blmngtn","TwnhsE","4","3",2006,"Gable","Gd","2","PConc","Ex","Unf",1258,"Ex","Y","SBrkr",1258,"2","0",2,1,"Gd","Typ","AA",3,"Y","New","Partial",172500,1,"0",160,"multiple","0"
"445","RL",8750,"Reg","CollgCr","1Fam","4","3",1994,"Gable","Gd","3","PConc","Gd","GLQ",915,"Ex","Y","SBrkr",1908,"2","1",4,1,"Gd","Typ","TA",2,"Y","WD","Normal",210000,2,"0",277,"multiple","0"
"446","RL",9855,"Reg","Edwards","1Fam","3","3",1956,"Hip","TA","2","CBlock","TA","Unf",1436,"Fa","Y","SBrkr",1689,"1","0",3,1,"TA","Typ","AA",2,"Y","COD","Normal",127500,1,"0",0,"no","1"
"447","RL",16492,"IR1","NAmes","1Fam","3","3",1966,"Gable","Gd","2","CBlock","TA","ALQ",1517,"Ex","Y","SBrkr",1888,"2","1",2,1,"Gd","Min","AA",2,"Y","WD","Normal",190000,1,"0",0,"no","0"
"448","RL",11214,"IR1","Gilbert","1Fam","4","3",1998,"Gable","Gd","2","PConc","Gd","Unf",930,"Gd","Y","SBrkr",1886,"2","1",4,1,"Gd","Typ","TA",2,"Y","WD","Normal",199900,2,"0",89,"wood_deck","0"
"449","RM",8600,"Reg","IDOTRR","1Fam","3","3",1937,"Gable","TA","2","BrkTil","TA","Unf",780,"TA","Y","SBrkr",1376,"2","0",3,1,"TA","Typ","AA",1,"N or P","WD","Normal",119500,2,"0",0,"no","0"
"450","RM",6000,"Reg","OldTown","1Fam","2","4",1948,"Gable","TA","3","CBlock","TA","ALQ",649,"Ex","Y","SBrkr",1183,"1","1",2,1,"TA","Typ","No",1,"Y","WD","Normal",120000,2,"0",176,"open_porch","0"
"451","RM",5684,"Reg","OldTown","1Fam","3","4",1930,"Hip","TA","2","BrkTil","TA","Unf",813,"Ex","Y","Fuse or Mix",813,"1","0",2,1,"Gd","Typ","No",1,"N or P","WD","Normal",110000,1,"0",113,"open_porch","0"
"452","RL",70761,"IR1","ClearCr","1Fam","4","3",1975,"Gable","TA","2","CBlock","Gd","ALQ",1533,"TA","Y","SBrkr",1533,"2","0",2,1,"Gd","Typ","TA",2,"Y","WD","Normal",280000,1,"0",254,"multiple","1"
"453","RL",9303,"IR1","Timber","1Fam","3","3",1996,"Hip","Gd","2","PConc","Ex","ALQ",872,"Ex","Y","SBrkr",1756,"2","1",3,1,"TA","Typ","No",2,"Y","WD","Normal",204000,2,"0",266,"multiple","0"
"454","FV",9000,"Reg","Somerst","1Fam","4","3",2008,"Gable","Gd","2","PConc","Gd","Unf",768,"Ex","Y","SBrkr",1590,"2","1",3,1,"Gd","Typ","No",2,"Y","WD","Normal",210000,2,"0",30,"open_porch","1"
"455","RL",9297,"Reg","Mitchel","Duplex","3","3",1976,"Gable","TA","2","CBlock","TA","ALQ",1728,"TA","Y","SBrkr",1728,"2","0",4,2,"TA","Typ","No",2,"Y","WD","Family",188000,1,"0",0,"no","1"
"456","RL",9600,"Reg","NWAmes","1Fam","4","3",1973,"Hip","TA","2","CBlock","TA","ALQ",1242,"Fa","Y","SBrkr",1242,"1","1",3,1,"TA","Typ","TA",2,"Y","WD","Normal",175500,1,"0",0,"no","1"
"457","RM",4571,"Reg","OldTown","1Fam","3","3",1916,"Gable","TA","2","BrkTil","TA","Unf",624,"Fa","N","SBrkr",1344,"1","0",4,1,"TA","Typ","No",3,"Y","COD","Abnorml",98000,2,"0",96,"enclosed_porch","0"
"458","RL",53227,"IR1","ClearCr","1Fam","2","3",1954,"Other","TA","2","CBlock","Gd","BLQ",1364,"Ex","Y","SBrkr",1663,"1","0",2,1,"Gd","Min","AA",2,"Y","WD","Normal",256000,1,"0",361,"multiple","0"
"459","RM",5100,"Reg","OldTown","1Fam","4","4",1925,"Hip","TA","3","PConc","TA","Unf",588,"Fa","Y","SBrkr",1666,"1","0",3,1,"Gd","Typ","AA",1,"Y","WD","Normal",161000,2,"0",255,"multiple","0"
"460","RL",7015,"IR1","BrkSide","1Fam","3","2",1950,"Gable","TA","2","CBlock","TA","LwQ",709,"TA","Y","SBrkr",1203,"1","0",3,1,"Gd","Typ","TA",1,"Y","WD","Normal",110000,2,"0",248,"enclosed_porch","1"
"461","FV",8004,"IR1","Somerst","1Fam","4","3",2009,"Gable","Gd","2","PConc","Gd","GLQ",832,"Ex","Y","SBrkr",1935,"2","1",3,1,"TA","Typ","No",2,"Y","New","Partial",263435,2,"0",150,"open_porch","1"
"462","RL",7200,"Reg","SWISU","1Fam","4","5",1936,"Gable","Gd","3","PConc","Gd","ALQ",560,"Ex","Y","SBrkr",1135,"1","0",3,1,"Gd","Typ","No",2,"Y","WD","Normal",155000,2,"0",256,"wood_deck","0"
"463","RL",8281,"IR1","Sawyer","1Fam","3","3",1965,"Gable","TA","2","CBlock","TA","Rec",864,"Gd","Y","SBrkr",864,"1","0",3,1,"TA","Typ","BA",1,"Y","WD","Normal",62383,1,"0",236,"enclosed_porch","1"
"464","RL",11988,"IR1","Crawfor","1Fam","3","4",1934,"Hip","TA","2","CBlock","TA","LwQ",715,"Fa","Y","Fuse or Mix",1660,"1","1",3,1,"TA","Typ","AA",1,"Y","WD","Normal",188700,2,"0",0,"no","0"
"465","RL",8430,"Reg","CollgCr","1Fam","3","3",1978,"Gable","TA","2","CBlock","Gd","Rec",1040,"TA","Y","SBrkr",1040,"2","0",3,1,"TA","Typ","No",0,"Y","WD","Normal",124000,1,"0",0,"no","1"
"466","RM",3072,"Reg","Blmngtn","TwnhsE","4","3",2004,"Hip","Gd","2","PConc","Gd","Unf",1375,"Ex","Y","SBrkr",1414,"2","0",2,1,"Gd","Typ","TA",2,"Y","WD","Normal",178740,1,"0",164,"multiple","1"
"467","RL",10628,"Reg","NAmes","1Fam","4","3",1970,"Other","TA","3","CBlock","TA","GLQ",1277,"TA","Y","SBrkr",1277,"1","0",2,1,"TA","Typ","BA",2,"Y","WD","Normal",167000,1,"0",176,"screen_porch","1"
"468","RL",9480,"Reg","NAmes","1Fam","3","4",1942,"Gable","TA","2","CBlock","TA","LwQ",728,"Ex","Y","SBrkr",1644,"1","1",3,1,"Gd","Typ","AA",1,"Y","WD","Normal",146500,2,"0",168,"wood_deck","0"
"469","RL",11428,"IR1","NridgHt","1Fam","4","3",2006,"Gable","Gd","2","PConc","Gd","Unf",1626,"Ex","Y","SBrkr",1634,"2","0",3,1,"Gd","Typ","AA",3,"Y","WD","Normal",250000,1,"0",44,"open_porch","1"
"470","RL",9291,"IR1","SawyerW","1Fam","3","3",1993,"Gable","Gd","2","PConc","Gd","GLQ",832,"Ex","Y","SBrkr",1710,"2","1",3,1,"Gd","Typ","No",2,"Y","WD","Normal",187000,2,"0",214,"multiple","1"
"471","RL",6820,"IR1","StoneBr","TwnhsE","4","3",1985,"Gable","Gd","2","PConc","Gd","GLQ",1488,"TA","Y","SBrkr",1502,"1","1",1,1,"Gd","Typ","No",2,"Y","WD","Normal",212000,1,"0",194,"multiple","1"
"472","RL",11952,"Reg","NWAmes","1Fam","4","3",1977,"Other","TA","2","CBlock","Gd","Unf",808,"TA","Y","SBrkr",1969,"2","1",3,1,"TA","Typ","AA",2,"Y","WD","Normal",190000,2,"0",276,"screen_porch","1"
"473","RM",3675,"Reg","Edwards","TwnhsE","3","3",2005,"Gable","TA","2","PConc","Gd","GLQ",547,"Ex","Y","SBrkr",1072,"1","0",2,1,"TA","Typ","No",2,"Y","WD","Normal",148000,1,"0",28,"open_porch","1"
"474","RL",14977,"IR1","NridgHt","1Fam","4","3",2006,"Gable","Gd","2","PConc","Ex","GLQ",1976,"Ex","Y","SBrkr",1976,"2","0",2,1,"Gd","Typ","AA",3,"Y","New","Partial",440000,1,"0",313,"multiple","0"
"475","RL",5330,"Reg","StoneBr","TwnhsE","4","3",2000,"Gable","Gd","2","PConc","Gd","GLQ",1494,"Ex","Y","SBrkr",1652,"2","0",2,1,"Ex","Typ","No",2,"Y","WD","Normal",251000,1,"0",144,"multiple","1"
"476","RL",8480,"Reg","Sawyer","1Fam","3","3",1963,"Hip","TA","2","CBlock","TA","GLQ",970,"TA","Y","SBrkr",970,"1","0",2,1,"TA","Typ","No",2,"Y","WD","Normal",132500,1,"0",216,"multiple","1"
"477","RL",13125,"Reg","CollgCr","1Fam","3","3",1997,"Gable","TA","2","PConc","Gd","GLQ",1478,"Ex","Y","SBrkr",1493,"2","0",3,1,"Gd","Typ","TA",2,"Y","WD","Normal",208900,1,"0",179,"multiple","0"
"478","RL",13693,"Reg","NridgHt","1Fam","5","3",2006,"Hip","Ex","2","PConc","Gd","Unf",2153,"Ex","Y","SBrkr",2643,"2","1",3,1,"Ex","Typ","AA",3,"Y","WD","Normal",380000,2,"0",498,"multiple","1"
"479","RL",10637,"Reg","CollgCr","1Fam","4","3",2007,"Hip","Gd","2","PConc","Ex","GLQ",1705,"Ex","Y","SBrkr",1718,"2","0",3,1,"Gd","Typ","AA",3,"Y","WD","Normal",297000,1,"0",252,"multiple","0"
"480","RM",5925,"Reg","OldTown","1Fam","2","4",1937,"Hip","TA","2","BrkTil","Fa","Rec",907,"TA","Y","SBrkr",1131,"1","0",2,1,"TA","Typ","No",2,"Y","WD","Other",89471,1,"0",72,"open_porch","0"
"481","RL",16033,"IR1","NridgHt","1Fam","5","3",2004,"Hip","Gd","2","PConc","Ex","GLQ",1833,"Ex","Y","SBrkr",1850,"2","0",3,1,"Gd","Typ","AA",3,"Y","WD","Normal",326000,1,"0",631,"multiple","0"
"482","RL",11846,"IR1","NridgHt","1Fam","5","3",2003,"Hip","Gd","2","PConc","Ex","GLQ",1792,"Ex","Y","SBrkr",1792,"2","0",2,1,"Ex","Typ","AA",3,"Y","WD","Normal",374000,1,"0",255,"multiple","0"
"483","RM",2500,"Reg","OldTown","1Fam","4","4",1915,"Gable","Gd","2","PConc","TA","ALQ",910,"Ex","Y","SBrkr",1826,"1","1",4,1,"Ex","Min","AA",1,"Y","WD","Normal",155000,2,"0",0,"no","0"
"484","RM",4500,"Reg","Mitchel","Twnhs","3","3",1998,"Hip","TA","2","PConc","Ex","GLQ",1216,"Ex","Y","SBrkr",1216,"2","0",2,1,"TA","Typ","No",2,"Y","WD","Normal",164000,1,"0",125,"open_porch","1"
"485","RL",7758,"IR1","Sawyer","1Fam","3","4",1962,"Gable","TA","3","CBlock","TA","ALQ",999,"Gd","Y","SBrkr",999,"1","0",3,1,"Gd","Typ","No",1,"Y","WD","Normal",132500,1,"0",132,"open_porch","0"
"486","RL",9600,"Reg","NAmes","1Fam","3","4",1950,"Gable","Gd","2","CBlock","TA","ALQ",1113,"Gd","Y","SBrkr",1113,"1","0",3,1,"Gd","Typ","AA",1,"Y","WD","Normal",147000,1,"0",200,"multiple","0"
"487","RL",10289,"Reg","NAmes","1Fam","3","4",1965,"Hip","TA","2","CBlock","TA","ALQ",1073,"TA","Y","SBrkr",1073,"1","1",3,1,"TA","Typ","No",2,"Y","WD","Normal",156000,1,"0",0,"no","1"
"488","RL",12243,"IR1","NWAmes","1Fam","3","3",1971,"Gable","TA","2","CBlock","Gd","ALQ",1484,"Gd","Y","SBrkr",1484,"2","0",3,1,"TA","Typ","TA",2,"Y","WD","Normal",175000,1,"0",404,"multiple","1"
"489","RL",10800,"Reg","OldTown","2fmCon","3","2",1900,"Gable","TA","1","CBlock","TA","BLQ",954,"TA","N","Fuse or Mix",2414,"2","0",3,2,"TA","Min","AA",2,"N or P","Other","Normal",160000,2,"0",142,"wood_deck","0"
"490","RM",1526,"Reg","MeadowV","Twnhs","2","4",1970,"Gable","TA","3","CBlock","Gd","GLQ",630,"TA","Y","SBrkr",630,"1","0",1,1,"Gd","Typ","No",1,"Y","WD","Normal",86000,1,"0",0,"no","0"
"491","RM",2665,"Reg","MeadowV","TwnhsE","3","3",1976,"Gable","TA","2","PConc","Gd","Unf",264,"TA","Y","SBrkr",1304,"1","1",3,1,"TA","Typ","AA",1,"Y","WD","Normal",115000,2,"0",165,"multiple","1"
"492","RL",9490,"Reg","NAmes","1Fam","3","4",1941,"Gable","TA","2","CBlock","TA","BLQ",806,"TA","Y","Fuse or Mix",1578,"1","0",3,1,"Fa","Typ","TA",1,"Y","WD","Normal",133000,2,"0",32,"enclosed_porch","0"
